PSDI_ID,Canonical name,InChi,InChiKey,SMILES,Tautomers,Isomers,n_MeltingPoint,n_BoilingPoint,n_HLC,n_LogS,n_Miscibility,Molecular Weight,CLogP,Heavy Atom Count,Hydrogen Bond Acceptors,Hydrogen Bond Donors,Rotatable Bonds,Rings,Hetero Aromatic Rings,Aromatic Rings,Topological Polar Surface Area,Quantitative Estimation of Drug-likeness
PSDI003150,,"InChI=1S/C10H13NO3/c1-3-7(2)8-4-5-10(12)9(6-8)11(13)14/h4-7,12H,3H2,1-2H3",GCDCKEORRIGZKI-UHFFFAOYSA-N,CCC(C)c1ccc(O)c([N+](=O)[O-])c1,3,2,0,0,1,1,0,195.09,2.81,14.0,3.0,1.0,3.0,1.0,0.0,1.0,63.37,0.6
PSDI003151,,"InChI=1S/C12H17NO2/c1-4-9(2)10-7-5-6-8-11(10)15-12(14)13-3/h5-9H,4H2,1-3H3,(H,13,14)",DIRFUJHNVNOBMY-UHFFFAOYSA-N,CCC(C)c1ccccc1OC(=O)NC,2,4,0,0,1,2,0,207.13,3.12,15.0,2.0,1.0,3.0,1.0,0.0,1.0,41.82,0.61
PSDI003166,,"InChI=1S/C5H11NO3/c1-3-5(4-2)9-6(7)8/h5H,3-4H2,1-2H3",WQZKKVJFBZPJSU-UHFFFAOYSA-N,CCC(CC)O[N+](=O)[O-],1,1,0,0,1,1,0,133.07,1.38,9.0,3.0,0.0,4.0,0.0,0.0,0.0,52.37,0.43
PSDI0031D0,,"InChI=1S/C5H11NO3/c1-3-4-5(2)9-6(7)8/h5H,3-4H2,1-2H3",RWRBSYOTDDOXKC-UHFFFAOYSA-N,CCCC(C)O[N+](=O)[O-],1,2,0,0,1,1,0,133.07,1.38,9.0,3.0,0.0,4.0,0.0,0.0,0.0,52.37,0.43
PSDI00335E,,"InChI=1S/C6H13NO3/c1-2-3-4-5-6-10-7(8)9/h2-6H2,1H3",AGDYNDJUZRMYRG-UHFFFAOYSA-N,CCCCCCO[N+](=O)[O-],1,1,0,0,1,1,0,147.09,1.78,10.0,3.0,0.0,6.0,0.0,0.0,0.0,52.37,0.33
PSDI003377,,"InChI=1S/C5H11NO3/c1-2-3-4-5-9-6(7)8/h2-5H2,1H3",HSNWZBCBUUSSQD-UHFFFAOYSA-N,CCCCCO[N+](=O)[O-],1,1,0,0,1,1,0,133.07,1.38,9.0,3.0,0.0,5.0,0.0,0.0,0.0,52.37,0.32
PSDI00337E,,"InChI=1S/C5H12N2O/c1-3-4-5-7(2)6-8/h3-5H2,1-2H3",PKTSCJXWLVREKX-UHFFFAOYSA-N,CCCCN(C)N=O,1,1,0,0,1,1,0,116.09,1.4,8.0,2.0,0.0,4.0,0.0,0.0,0.0,32.67,0.41
PSDI00337F,,"InChI=1S/C6H14N2O/c1-3-5-6-8(4-2)7-9/h3-6H2,1-2H3",ZGMCNGHHUQZNIH-UHFFFAOYSA-N,CCCCN(CC)N=O,1,1,0,0,1,2,0,130.11,1.79,9.0,2.0,0.0,5.0,0.0,0.0,0.0,32.67,0.42
PSDI003383,,"InChI=1S/C12H27N/c1-4-7-10-13(11-8-5-2)12-9-6-3/h4-12H2,1-3H3",IMFACGCPASFAPR-UHFFFAOYSA-N,CCCCN(CCCC)CCCC,1,1,0,0,1,1,0,185.21,3.69,13.0,1.0,0.0,9.0,0.0,0.0,0.0,3.24,0.53
PSDI0033DA,,"InChI=1S/C9H19NOS/c1-4-7-10(8-5-2)9(11)12-6-3/h4-8H2,1-3H3",GUVLYNGULCJVDO-UHFFFAOYSA-N,CCCN(CCC)C(=O)SCC,1,1,0,0,1,1,0,189.12,2.98,12.0,2.0,0.0,5.0,0.0,0.0,0.0,20.31,0.66
