PSDI_ID,Canonical name,InChi,InChiKey,SMILES,Tautomers,Isomers,n_MeltingPoint,n_BoilingPoint,n_HLC,n_LogS,n_Miscibility,Molecular Weight,CLogP,Heavy Atom Count,Hydrogen Bond Acceptors,Hydrogen Bond Donors,Rotatable Bonds,Rings,Hetero Aromatic Rings,Aromatic Rings,Topological Polar Surface Area,Quantitative Estimation of Drug-likeness
PSDI000DFD,,"InChI=1S/C11H14O3/c1-2-3-8-14-11(13)9-6-4-5-7-10(9)12/h4-7,12H,2-3,8H2,1H3",YFDUWSBGVPBWKF-UHFFFAOYSA-N,CCCCOC(=O)c1ccccc1O,4,1,1,1,0,0,0,194.09,2.35,14.0,3.0,1.0,4.0,1.0,0.0,1.0,46.53,0.59
PSDI000DFE,,"InChI=1S/C10H12O3/c1-2-7-13-10(12)8-5-3-4-6-9(8)11/h3-6,11H,2,7H2,1H3",LZFIOSVZIQOVFW-UHFFFAOYSA-N,CCCOC(=O)c1ccccc1O,4,1,1,1,0,0,0,180.08,1.96,13.0,3.0,1.0,3.0,1.0,0.0,1.0,46.53,0.72
PSDI000E00,,"InChI=1S/C9H10O3/c1-6-4-3-5-7(8(6)10)9(11)12-2/h3-5,10H,1-2H3",SUHLUMKZPUMAFP-UHFFFAOYSA-N,COC(=O)c1cccc(C)c1O,4,1,1,1,0,0,0,166.06,1.49,12.0,3.0,1.0,1.0,1.0,0.0,1.0,46.53,0.64
PSDI000E02,,"InChI=1S/C9H10O3/c1-6-3-4-8(10)7(5-6)9(11)12-2/h3-5,10H,1-2H3",JQYUQKRFSSSGJM-UHFFFAOYSA-N,COC(=O)c1cc(C)ccc1O,4,1,1,1,0,0,0,166.06,1.49,12.0,3.0,1.0,1.0,1.0,0.0,1.0,46.53,0.64
PSDI000E04,,"InChI=1S/C8H7NO4/c1-13-8(10)6-4-2-3-5-7(6)9(11)12/h2-5H,1H3",AOXPHVNMBPFOFS-UHFFFAOYSA-N,COC(=O)c1ccccc1[N+](=O)[O-],1,1,1,1,0,0,0,181.04,1.38,13.0,4.0,0.0,2.0,1.0,0.0,1.0,69.44,0.39
PSDI000E08,,"InChI=1S/C11H14O5/c1-13-8-5-7(11(12)16-4)6-9(14-2)10(8)15-3/h5-6H,1-4H3",KACHFMOHOPLTNX-UHFFFAOYSA-N,COC(=O)c1cc(OC)c(OC)c(OC)c1,1,1,1,1,0,0,0,226.08,1.5,16.0,5.0,0.0,4.0,1.0,0.0,1.0,53.99,0.73
PSDI000E09,,"InChI=1S/C10H12O4/c1-12-8-5-4-7(10(11)14-3)6-9(8)13-2/h4-6H,1-3H3",BIGQPYZPEWAPBG-UHFFFAOYSA-N,COC(=O)c1ccc(OC)c(OC)c1,1,1,1,1,0,0,0,196.07,1.49,14.0,4.0,0.0,3.0,1.0,0.0,1.0,44.76,0.69
PSDI000E13,,"InChI=1S/C8H7ClO2/c1-11-8(10)6-3-2-4-7(9)5-6/h2-5H,1H3",XRDRKVPNHIWTBX-UHFFFAOYSA-N,COC(=O)c1cccc(Cl)c1,1,1,1,1,0,0,0,170.01,2.13,11.0,2.0,0.0,1.0,1.0,0.0,1.0,26.3,0.6
PSDI000E14,,"InChI=1S/C8H7IO2/c1-11-8(10)6-3-2-4-7(9)5-6/h2-5H,1H3",NPXOIGSBRLCOSD-UHFFFAOYSA-N,COC(=O)c1cccc(I)c1,1,1,1,1,0,0,0,261.95,2.08,11.0,2.0,0.0,1.0,1.0,0.0,1.0,26.3,0.57
PSDI000E15,,"InChI=1S/C8H7NO4/c1-13-8(10)6-3-2-4-7(5-6)9(11)12/h2-5H,1H3",AXLYJLKKPUICKV-UHFFFAOYSA-N,COC(=O)c1cccc([N+](=O)[O-])c1,1,1,1,1,0,0,0,181.04,1.38,13.0,4.0,0.0,2.0,1.0,0.0,1.0,69.44,0.39
